Bug	10A	11A	12A	13A	14A	15A	16A	17A	18A	19A	1A	20A	21A	22A	23A	24A	25A	26A	27A	28A	29A	2A	30A	31A	32A	33A	34A	35A	36A	37A	38A	39A	3A	40A	41A	42A	43A	44A	45A	46A	47A	48A	49A	4A	50A	51A	52A	53A	54A	55A	5A	6A	7A	8A	9A
FCMP.c-27.6545	0.087185	0.210863	0.210752	0.003513	0.002073	0.001813	0.001526	0.170287	0.002104	0.002431	0.273096	0.112211	0.274481	0.232329	0.381777	0.31758	0.135474	0.550112	0.007134	0.007771	0.007406	0.148822	0.385753	0.056207	0.157989	0.209373	0.056147	0.324527	0.278714	0.032354	0.04253	0.250255	0.208214	0.099033	0.115701	0.000371	0.20691	0.055967	0.237228	0.134764	0.281392	0.195032	0.316069	0.105635	0.658255	0.746054	0.225822	0.32609	0.247314	0.021146	0.104907	0.055207	0.003227	0.003691	0.346886
FCMP.c-30.1311	0.604511	0.264354	0.278632	0.007343	0.546258	0.500762	0.44222	0.007312	0.005241	0.008358	0.406783	0.022845	0.161446	0.042159	0.082142	0.378402	0.024703	0.01369	0.005636	0.104764	0.009174	0.591752	0.152703	0.009871	0.402474	0.41754	0.009731	0.225524	0.80746	0.286797	0.312237	0.076485	0.33466	0.201377	0.015826	0.000172	0.340289	0.397655	0.375933	0.012363	0.352024	0.015014	0.16046	0.014542	0.146704	0.027894	0.007956	0.01296	0.010534	0.008637	0.010169	0.174693	0.018632	0.012653	0.08191
FCMP.c-19.7854	0.450812	0.417853	0.345436	0.01605	0.446122	0.410123	0.005821	0.010307	0.005372	0.017716	0.625323	0.178007	0.18527	0.180148	0.25648	0.728322	0.329584	0.184025	0.003091	0.240263	0.00918	0.501918	0.424507	0.165661	0.341837	0.089815	0.231869	0.325207	0.037516	0.377985	0.367785	0.249086	0.412713	0.339371	0.264333	0.00075	0.403581	0.614696	0.394392	0.467686	0.101894	0.447225	0.449813	0.1578	0.546149	0.143526	0.154946	0.145548	0.293872	0.233353	0.018188	0.660484	0.204443	0.010448	0.33223
FCMP.c-18.7967	0.041095	0.039453	0.035273	0.038497	0.036192	0.030699	0.073932	0.103267	0.015542	0.146264	0.030879	0.10866	0.040127	0.027365	0.032407	0.028631	0.025926	0.047718	0.134362	0.118473	0.94714	0.035202	0.025848	0.019452	0.034219	0.046777	0.059138	0.040314	0.015435	0.053915	0.030183	0.037706	0.014352	0.018081	0.050526	0.000164	0.019414	0.029134	0.028563	0.022593	0.03045	0.032049	0.033424	0.04684	0.026901	0.0479	0.056646	0.050562	0.038262	0.04726	0.035886	0.107336	0.060364	0.03404	0.035173
FCMP.c-17.5053	0.223752	0.171345	0.145719	0.012265	0.037129	0.032886	0.001634	0.010597	0.018472	0.004792	0.441251	0.25846	0.084887	0.117502	0.051856	0.856085	0.227605	0.105777	0.102858	0.064506	0.007808	0.152859	0.065024	0.070063	0.238105	0.044409	0.045704	0.425377	0.022271	0.169619	0.037035	0.134063	0.180098	0.089759	0.16158	0.000653	0.385719	0.089689	0.02743	0.034539	0.051886	0.464538	0.456613	0.050716	0.018571	0.607349	0.301082	0.507888	0.554617	0.085266	0.444529	0.084759	0.104645	0.052419	0.348393
FCMP.c-17.2964	0.164943	0.118968	0.087644	0.017447	0.14181	0.115053	0.007266	0.002106	0.004255	0.005766	0.437761	0.142582	0.167916	0.128621	0.164283	0.165619	0.058799	0.359229	0.001473	0.102081	0.133777	0.303994	0.177656	0.07654	0.191523	0.010955	0.038929	0.357027	0.023404	0.184193	0.289301	0.550211	0.10601	0.702301	0.211228	0.000491	0.182683	0.193711	0.063155	0.389689	0.115534	0.301621	0.524914	0.387016	0.152843	0.093909	0.112436	0.115306	0.185714	0.229944	0.239644	0.17674	0.182503	0.008359	0.131941
FCMP.c-25.2141	0.035215	0.13495	0.190211	0.002858	0.218028	0.177639	0.569885	0.659781	0.024454	0.00609	0.128603	0.338838	0.012928	0.054681	0.0127	0.005172	0.046351	0.016988	0.006154	0.013784	0.033753	0.011976	0.03353	0.219871	0.029971	0.074928	0.5832	0.116748	0.008354	0.413119	0.21931	0.261178	0.116955	0.012755	0.006807	3.2e-05	0.091183	0.004843	0.008984	0.285681	0.051917	0.003683	0.367605	0.009069	0.009286	0.073004	0.074964	0.292577	0.072781	0.01292	0.003387	0.016921	0.011324	0.002176	0.009976
FCMP.c-30.1340	0.001601	0.072938	0.009116	0.956845	0.003666	0.002003	0.005923	0.006463	0.004344	0.858891	0.002828	0.007745	0.004617	0.003343	0.005058	0.002815	0.021173	0.003817	0.034632	0.027025	0.015325	0.001768	0.005548	0.002438	0.003787	0.005177	0.006085	0.002735	0.008202	0.011761	0.00669	0.003774	0.001881	0.002756	0.004212	0.00869	0.001191	0.00466	0.002711	0.003585	0.002898	0.003108	0.004191	0.006356	0.003487	0.003743	0.005062	0.004054	0.005659	0.00987	0.006036	0.013135	0.024118	0.004688	0.001658
FCMP.c-19.4504	0.007626	0.186251	0.476902	0.004378	0.006175	0.006879	0.160362	0.069455	0.008517	0.005192	0.206017	0.004538	0.010794	0.485053	0.218995	0.010219	0.00869	0.222319	0.007472	0.082345	0.175484	0.264204	0.046696	0.009077	0.354633	0.086247	0.267176	0.044543	0.11653	0.019798	0.014357	0.72687	0.076866	0.499521	0.607095	0.000827	0.069301	0.241011	0.00527	0.293703	0.291534	0.311817	0.334564	0.072931	0.012711	0.010779	0.006728	0.130837	0.299395	0.052927	0.18054	0.220383	0.035436	0.005226	0.239139
FCMP.c-17.3195	0.047653	0.007026	0.010612	0.006419	0.007281	0.007085	0.000443	0.001639	0.007677	0.109509	0.322548	0.003036	0.005894	0.11076	0.041098	0.009281	0.006642	0.005612	0.005998	0.004963	0.011055	0.011507	0.007125	0.008159	0.010046	0.931057	0.003969	0.006613	0.239221	0.004272	0.011987	0.005627	0.011728	0.010533	0.007687	2.9e-05	0.007943	0.285715	0.008187	0.002627	0.017888	0.028348	0.007568	0.007405	0.005408	0.238994	0.332277	0.00487	0.00717	0.003751	0.005179	0.125478	0.010123	0.005607	0.077513
