Bug	10A	11A	12A	13A	14A	15A	16A	17A	18A	19A	1A	20A	21A	22A	23A	24A	25A	26A	27A	28A	29A	2A	30A	31A	32A	33A	34A	35A	36A	37A	38A	39A	3A	40A	41A	42A	43A	44A	45A	46A	47A	48A	49A	4A	50A	51A	52A	53A	54A	55A	5A	6A	7A	8A	9A
FCMP-29A_23.138	0.117063	0.034281	0.022317	0.074913	0.056378	0.047018	0.038927	0.082505	0.04045	0.66879	0.107025	0.030872	0.030731	0.035894	0.073152	0.1094	0.096367	0.143196	0.255856	0.192167	23.221739	0.053484	0.055246	0.050784	0.034143	0.105991	0.14314	0.05628	0.132529	0.033623	0.049927	0.056009	0.036522	0.044876	0.066462	0.013362	0.281806	0.057664	0.254916	0.054955	0.077238	0.061474	0.047272	0.15604	0.128095	0.092584	0.093355	0.060214	0.081296	0.141443	0.120493	0.073976	0.143905	0.082578	0.039974
FCMP-29A_24.46	0.288978	0.21151	0.210076	0.55642	0.312182	0.259413	1.532848	2.491048	0.630842	1.417382	0.428233	1.51002	0.489418	0.307164	0.306893	0.331659	0.089109	0.440763	1.329538	1.703099	6.381008	0.087897	0.297539	0.437238	0.333121	0.410047	0.379037	0.227065	0.848469	0.691428	0.144332	0.250057	0.444905	0.123319	0.224493	0.020087	0.062246	0.161012	0.547404	0.619672	0.806604	0.384174	0.304944	1.729567	0.998175	0.289829	3.399178	0.334161	1.361325	19.513006	0.743607	0.166854	0.330047	0.425437	0.082305
FCMP-29A_27.59	0.151485	0.142603	0.154132	0.045679	0.017674	0.019355	0.09167	0.064775	0.489038	0.004598	0.012657	0.256391	0.00437	0.008543	0.097533	0.002751	0.04996	0.100423	0.40911	0.052786	6.438789	0.013871	0.019863	0.013842	0.00671	1.826205	0.019915	0.007596	0.066767	0.082389	0.057271	0.013337	0.03103	0.044593	0.371382	2.4e-05	0.02811	0.010391	0.073925	0.006512	0.002997	0.014776	0.010137	0.009705	0.01119	0.012944	0.111141	0.013045	0.12672	0.093158	0.647115	0.094585	0.053618	0.000701	0.935361
FCMP-29A_21.49	0.293156	0.151316	0.357954	0.071563	1.931688	2.628122	0.010255	0.1891	0.164603	0.075326	0.912546	0.033793	0.239221	0.240764	0.038396	0.085021	0.105319	0.207881	0.023974	0.057678	18.329453	0.414801	0.257506	0.28617	0.235201	0.084514	0.093938	0.35395	0.069162	0.022444	0.101012	0.050747	0.275589	0.087045	0.088922	0.007095	0.764128	0.071126	0.3159	0.02928	0.12836	0.219976	0.134255	0.028221	0.093026	0.349995	0.022399	0.435935	0.030973	0.064839	0.068205	0.17316	0.123914	0.150645	0.232367
FCMP-29A_27.76	0.612797	0.20555	0.230025	0.011825	0.050923	0.064458	0.00273	0.335405	0.010008	0.018322	0.371796	2.436415	0.408623	0.4483	0.090465	0.134898	0.008085	0.075071	0.565342	0.11809	7.530781	0.603902	0.823755	0.033928	0.071857	0.035807	3.705501	0.129471	0.022491	0.92104	1.534266	1.235962	0.548457	0.301466	0.19428	0.698651	0.468816	0.310155	0.022937	0.854957	0.902205	0.294204	0.200059	0.122842	0.097634	0.007133	0.128812	0.204433	0.186751	0.408653	0.240033	0.34429	0.194627	1.078395	1.14174
FCMP-29A_24.12	6.756674	8.50734	8.724315	4.157385	24.149922	27.099318	3.933759	0.227506	22.084301	0.870235	3.944607	5.928025	3.314024	6.794953	2.954616	0.028763	9.619899	11.821702	0.020498	7.47053	11.885356	5.984347	13.330213	7.512358	11.823127	3.671125	6.253978	7.166395	6.286648	13.917513	9.068286	11.213612	9.242153	9.738177	7.312666	0.007347	5.512994	1.753596	7.98505	7.948906	1.879313	1.886957	4.58502	7.465991	3.855918	1.736083	0.01363	0.038344	1.129987	1.612661	2.355493	4.570331	27.222199	4.663634	5.876484
FCMP-29A_18b.102	0.065428	0.042916	0.045503	0.268675	0.046676	0.024748	0.070431	0.323259	0.15313	0.150964	0.076189	0.115114	0.069061	0.067793	0.052763	0.052036	0.04641	0.110196	0.114699	0.071293	5.662592	0.045208	0.073474	0.174371	0.103428	0.07792	0.104581	0.061939	0.055856	0.150459	0.106542	0.121718	0.034514	0.084036	0.080106	0.033681	0.03351	0.054958	0.067489	0.08708	0.083647	0.077884	0.071267	0.092909	0.065868	0.100984	0.475375	0.146276	0.08144	0.432491	0.071122	0.030162	0.036302	0.104329	0.085353
FCMP-29A_18b.96	0.432081	0.482579	0.891706	8.964515	0.05797	0.067877	0.356219	0.686421	0.12689	9.692045	0.805559	0.070363	0.750162	1.143	0.377368	2.330576	0.377816	0.4199	22.673814	1.449763	19.586423	0.349209	0.769947	3.633446	2.704715	0.600961	0.659591	0.425321	0.105094	0.142133	0.085506	0.291641	0.440862	4.166446	8.424511	0.003649	0.473776	1.031785	0.15906	1.176488	0.536023	1.623967	0.81428	0.173446	0.21283	1.016287	0.717885	0.869003	1.228641	6.901695	0.383166	0.589455	1.447703	0.420323	0.909911
FCMP-29A_27b.111	0.183651	0.219905	0.264243	0.092847	0.08114	0.054178	3.988781	0.119234	0.01859	2.140748	0.17661	0.106395	0.353504	0.270522	0.464755	0.007843	0.011894	0.127398	0.021602	0.043935	19.943403	0.202656	0.350979	0.221413	1.539335	0.18475	0.255937	0.589049	0.213078	0.785813	0.595535	0.428932	0.314257	0.164786	0.220185	0.000557	0.224428	0.254975	7.899513	0.881218	2.229886	1.564838	0.631247	0.089175	1.021834	0.250127	0.418594	0.167549	0.546675	0.055403	0.152961	0.092794	0.865013	0.225164	0.234498
FCMP-29A_24b.71	4.437991	3.465588	1.350594	1.464704	9.033759	5.390933	0.277369	0.672209	0.05175	0.670088	1.059076	2.020195	1.090514	0.728385	1.158821	0.810712	0.740324	0.91025	0.498987	4.738883	5.938018	2.225881	2.812065	0.796278	2.201939	1.940601	2.306803	1.367945	2.806863	3.182301	2.543313	1.195101	1.598234	1.745685	1.856398	0.050135	3.906903	0.951655	2.689563	0.850061	4.374772	1.467058	3.413496	0.570426	1.924312	1.615087	0.690931	1.146301	0.701941	2.031151	1.44894	2.115387	2.069009	2.283171	3.181981
FCMP-29A_30.101	3.52727	1.422047	3.180098	1.54948	2.857022	4.132699	0.012056	1.578085	2.894855	1.524146	4.869218	2.983506	3.319801	1.17958	3.884546	0.693703	2.275695	0.44818	0.806314	0.019806	9.096444	3.736559	1.067211	2.454729	1.266874	2.284481	3.934488	4.861954	0.681047	1.65871	1.657952	2.556091	3.986281	1.043445	0.758679	0.001882	1.072505	0.924128	0.041612	6.891052	1.410045	6.102155	1.397402	1.815866	0.954225	1.032639	0.356753	0.183579	0.335168	2.433679	2.460133	1.434903	1.031694	2.30202	1.695928
FCMP-29A_16.41	1.57837	1.588137	0.398495	0.294914	1.096943	0.93637	0.320579	0.325028	2.771289	8.571251	0.807782	0.516929	0.432274	1.584035	1.704299	0.834398	0.596505	1.047445	18.211205	1.64193	17.824552	1.305257	0.502294	0.619236	0.786847	0.72421	1.366049	2.519268	0.373724	0.390517	0.914683	0.761188	0.396788	0.785842	3.028057	0.052416	1.203019	1.07379	0.897672	0.549377	0.527665	0.721568	0.449564	0.844601	0.663813	0.869785	0.66092	1.702991	0.593447	0.827539	2.999115	0.482455	0.737538	1.52989	1.025802
FCMP-29A_30.133	1.052999	0.543027	0.372618	0.759388	0.726164	0.406926	0.152992	1.698653	0.01757	0.310854	1.37161	0.424965	0.54825	1.347491	1.150708	0.824222	1.304337	0.590951	1.406264	0.875737	6.924785	0.694979	1.070425	1.263617	1.495035	0.433535	0.944871	1.276875	0.096736	0.694284	0.382157	1.065184	0.654092	0.76488	0.867353	0.019291	0.342684	0.42227	1.126814	1.013746	0.966832	0.774922	0.711219	1.757761	0.885204	1.398595	3.255189	0.991565	1.057904	2.891592	1.134185	0.24243	0.202985	1.168503	0.939805
FCMP-29A_30.52	0.896162	0.796402	0.35449	0.731759	0.804683	0.556385	0.264638	0.813098	0.249177	4.241182	0.435303	1.503659	0.840907	1.276996	1.610547	0.141694	1.386212	1.134046	3.046099	2.706791	7.951345	0.32129	0.567905	0.762304	1.115782	0.278185	0.588989	0.841889	0.300041	1.896089	1.255219	0.681687	0.393341	0.506751	0.436441	0.005896	0.245433	0.375382	0.335549	1.128888	0.579049	1.417434	1.034205	4.786962	0.16144	1.300023	2.9113	0.640179	0.651433	2.79372	1.157236	0.428468	0.554999	0.819927	0.264669
FCMP-29A_19.58	0.982137	0.708829	0.017504	0.69122	0.044828	0.032431	0.006166	1.657736	0.114694	0.054292	0.024579	0.927707	0.061821	0.016936	0.931849	0.014822	0.025667	0.039987	0.028051	4.621137	6.746361	0.04484	0.01085	0.013774	0.028377	0.023593	5.504459	0.086036	0.011727	4.183723	1.509072	3.368813	0.018124	0.028941	0.041355	0.000472	0.036358	0.075432	0.02487	0.053467	0.486774	5.003669	2.158746	0.326752	0.086936	0.18831	0.077238	0.024179	0.066384	1.348719	0.015404	0.62304	0.060513	2.382363	0.03551
FCMP-29A_22b.136	3.127467	1.888025	1.943033	1.332564	2.457001	2.003838	0.04926	1.381892	0.044915	0.478955	1.215173	1.577696	1.990317	2.146409	1.830896	1.990396	1.642762	4.210908	0.082785	3.900024	7.636319	2.380326	3.252855	1.637481	3.127747	3.027185	0.671464	2.230444	3.859892	1.822643	1.476192	2.74842	1.78151	3.07301	1.776102	0.048554	3.140748	2.124901	2.315327	1.854016	2.334733	1.859441	2.548399	0.680381	2.162604	1.348666	0.632731	0.941894	0.846711	1.544509	0.954713	2.122123	2.157331	1.912722	1.959234
